"Frame","Time","HeadX","HeadY","HeadZ","WithersX","WithersY","WithersZ","SacrumX","SacrumY","SacrumZ","HFLX","HFLY","HFLZ","HFRX","HFRY","HFRZ","HHLX","HHLY","HHLZ","HHRX","HHRY","HHRZ"
87,0.717,883.91437,209.88560,1300.26563,-225.63080,-92.48967,1278.10461,-963.79816,59.83113,1309.31531,641.79254,24.39967,33.02443,-159.89688,-187.06100,-1.80021,-799.46173,241.98404,-6.12874,-1391.71936,-87.76165,38.83464
88,0.725,881.13196,210.18117,1305.88062,-224.46115,-91.47173,1278.62524,-963.09998,60.39880,1312.49792,645.47626,28.38007,27.76131,-173.60159,-186.00003,-1.72196,-813.05823,242.87325,-5.96328,-1366.73743,-89.47903,38.51263
89,0.733,878.39362,210.47870,1311.25574,-223.27713,-90.31500,1279.23962,-962.50842,60.84311,1315.42322,646.30457,32.06237,21.74379,-187.34311,-184.95886,-1.64818,-826.66736,243.81885,-5.84726,-1339.17444,-91.68774,38.06886
90,0.742,875.74146,210.78499,1316.33484,-221.98175,-88.99794,1279.91968,-961.99561,61.18229,1318.08069,644.06995,35.43949,15.31706,-201.10977,-183.93085,-1.56800,-840.36072,244.83929,-5.76177,-1309.44775,-94.10946,37.88294
91,0.750,873.22443,211.08443,1321.06946,-220.53633,-87.52427,1280.65283,-961.51398,61.44806,1320.47144,638.72443,38.46349,9.18586,-214.89542,-182.88885,-1.48283,-854.18671,245.94160,-5.65559,-1278.11633,-96.49340,38.08801
92,0.758,870.89459,211.34438,1325.41748,-218.96948,-85.92575,1281.42725,-961.00629,61.65950,1322.60657,630.61487,40.89304,4.21086,-228.69757,-181.82813,-1.38258,-868.13074,247.05867,-5.53375,-1245.69409,-98.62444,38.66809
93,0.767,868.80737,211.53363,1329.33716,-217.33134,-84.24841,1282.22424,-960.41956,61.81570,1324.50220,620.44287,42.47092,1.00329,-242.51477,-180.77432,-1.25716,-882.12048,248.11392,-5.43772,-1212.50574,-100.31216,39.58076
94,0.775,867.02271,211.63708,1332.78748,-215.65213,-82.53970,1283.02490,-959.71661,61.91267,1326.17468,608.80194,43.27669,-0.51203,-256.35205,-179.76889,-1.13484,-896.05322,249.11971,-5.37354,-1178.66064,-101.49635,40.78285
95,0.783,865.59778,211.65938,1335.72986,-213.94983,-80.85168,1283.81946,-958.88245,61.96099,1327.63477,595.96527,43.78317,-1.00983,-270.20285,-178.86420,-1.06386,-909.88110,250.11514,-5.30488,-1144.14233,-102.41958,42.23820
96,0.792,864.57507,211.62439,1338.13184,-212.25423,-79.24744,1284.59900,-957.92670,61.98188,1328.87988,582.25806,44.46777,-1.16401,-283.99161,-178.09630,-1.04455,-923.70142,251.07529,-5.20262,-1108.91138,-103.53284,43.97391
97,0.800,863.97388,211.56709,1339.97473,-210.60683,-77.79019,1285.34924,-956.88519,61.99305,1329.89221,568.23541,45.46357,-1.28483,-297.54514,-177.45070,-0.98610,-937.63092,251.99234,-5.07459,-1073.02966,-105.13612,46.04526
98,0.808,863.79034,211.51440,1341.25549,-209.04662,-76.52406,1286.05884,-955.82306,62.00407,1330.64331,554.34320,46.66043,-1.43835,-310.64243,-176.89017,-0.71107,-951.61243,252.93268,-4.93236,-1036.76587,-107.20939,48.41677
99,0.817,864.00433,211.46994,1341.97791,-207.60579,-75.46516,1286.72925,-954.82880,62.02153,1331.09937,540.66113,47.97118,-1.61563,-323.10651,-176.41353,-0.02295,-965.50488,253.94229,-4.79753,-1000.55774,-109.57500,50.93561
100,0.825,864.58954,211.41759,1342.14636,-206.32176,-74.60784,1287.37720,-953.99237,62.05210,1331.22119,527.04425,49.35993,-1.79059,-334.82867,-176.04062,1.19071,-979.27881,255.01712,-4.72381,-964.86035,-112.08669,53.39081
101,0.833,865.51910,211.33546,1341.76917,-205.25348,-73.93654,1288.02393,-953.38074,62.09534,1330.97388,513.39172,50.75519,-1.95520,-345.68546,-175.74710,2.94919,-992.98950,256.17462,-4.71513,-929.94055,-114.66764,55.56038
102,0.842,866.77051,211.20258,1340.86035,-204.48096,-73.43682,1288.67810,-953.02814,62.13609,1330.34387,499.72003,52.08653,-2.09892,-355.44757,-175.46877,5.26681,-1006.67554,257.43887,-4.68795,-895.73853,-117.29464,57.26487
103,0.850,868.32574,210.99759,1339.43640,-204.07907,-73.10146,1289.32727,-952.94739,62.15083,1329.34558,486.08154,53.34580,-2.18325,-363.73505,-175.19937,8.19891,-1020.36938,258.74689,-4.59240,-862.00134,-120.01415,58.42629
104,0.858,870.16455,210.70290,1337.51514,-204.08716,-72.92049,1289.93909,-953.15967,62.12417,1328.01746,472.51703,54.53505,-2.20457,-370.01099,-175.07240,11.81468,-1034.08997,259.95743,-4.48091,-828.56207,-122.94270,59.05409
105,0.867,872.25842,210.32117,1335.11597,-204.49905,-72.86249,1290.46729,-953.71912,62.05872,1326.41980,459.02515,55.63423,-2.23750,-373.63437,-175.28625,16.15775,-1047.79297,260.98975,-4.41219,-795.45459,-126.22452,59.17606
106,0.875,874.57159,209.88113,1332.26270,-205.27328,-72.87421,1290.86267,-954.68689,61.96180,1324.62390,445.54333,56.66776,-2.35595,-373.90048,-175.99254,21.20670,-1061.41003,261.90765,-4.38835,-762.82281,-129.97127,58.77874
107,0.883,877.06110,209.41258,1328.98999,-206.35687,-72.90266,1291.08765,-956.07898,61.82343,1322.68555,432.04095,57.68787,-2.54627,-370.03201,-177.36005,26.73659,-1074.88477,262.84180,-4.39529,-730.82861,-134.21082,57.79525
