"Frame","Time","HeadX","HeadY","HeadZ","WithersX","WithersY","WithersZ","SacrumX","SacrumY","SacrumZ","HFLX","HFLY","HFLZ","HFRX","HFRY","HFRZ","HHLX","HHLY","HHLZ","HHRX","HHRY","HHRZ"
98,0.808,951.56604,-231.28482,1513.22949,-59.23031,37.62366,1304.48206,-809.35181,67.08719,1305.21521,-140.66058,-70.92307,4.35969,800.56860,149.48061,53.50588,-1199.68298,283.30984,10.53127,-375.85553,-45.52538,36.84557
99,0.817,954.65387,-229.05508,1511.55933,-57.09968,36.59234,1306.32446,-807.86725,68.34112,1307.19312,-159.59442,-69.80470,9.90878,797.64099,151.90912,42.81702,-1218.57446,286.68460,17.85656,-364.42072,-48.79658,29.47014
100,0.825,957.79163,-227.05466,1509.57910,-55.09301,35.61538,1307.37183,-806.53931,69.48099,1308.52295,-174.43298,-68.58036,18.59691,790.37830,155.09828,31.89034,-1235.33887,289.48834,25.63186,-355.84406,-52.35081,22.18350
101,0.833,960.92108,-225.21152,1507.25452,-53.23629,34.77893,1307.56140,-805.33502,70.37421,1309.22168,-183.30371,-67.74746,30.58337,779.76453,158.65791,21.41789,-1249.58911,291.49863,33.32413,-350.36957,-55.91005,15.52609
102,0.842,963.99976,-223.45070,1504.55322,-51.52631,34.16717,1306.87354,-804.18091,70.90109,1309.36572,-184.57751,-67.79874,44.68472,765.89490,162.18637,12.20967,-1260.84656,292.55429,40.51288,-348.66394,-59.12770,9.58228
103,0.850,967.01343,-221.72583,1501.45605,-49.94991,33.81098,1305.34485,-803.02405,70.98566,1309.05872,-177.92108,-68.92848,58.44400,748.61389,165.33536,5.41640,-1268.80176,292.66452,46.80804,-351.54413,-61.57972,4.13367
104,0.858,969.98260,-220.02628,1497.96484,-48.49792,33.68209,1303.06238,-801.87756,70.60541,1308.40430,-164.41107,-71.13433,69.57090,728.07153,167.85791,1.61655,-1273.44531,292.00934,51.86504,-359.67499,-62.90709,-0.89825
105,0.867,972.95654,-218.36804,1494.10571,-47.17089,33.71748,1300.14709,-800.82220,69.79217,1307.49133,-145.71277,-74.35011,77.23304,704.90155,169.83167,0.16708,-1274.86963,290.88107,55.50695,-373.31317,-62.99432,-5.13836
106,0.875,975.99878,-216.78809,1489.92566,-45.98084,33.84381,1296.73523,-799.97070,68.63319,1306.38550,-123.33389,-78.35400,81.91543,680.12891,171.61655,-0.11818,-1272.96997,289.80688,57.84342,-392.07181,-62.02030,-8.04406
107,0.883,979.16595,-215.33786,1485.48621,-44.95512,33.98735,1292.95959,-799.41498,67.28554,1305.10522,-98.40570,-82.68512,84.50983,654.84882,173.48772,-0.08798,-1267.51294,289.47272,59.02595,-414.68622,-60.35412,-9.50124
108,0.892,982.48608,-214.06622,1480.86182,-44.13431,34.08310,1288.93958,-799.18262,65.97580,1303.59961,-71.76791,-86.79090,85.74523,629.76581,175.47932,-0.13612,-1258.34351,290.25104,58.88341,-439.28366,-58.38789,-9.95178
